label,kecamatan,wo_value,lat,lon
0,SORKAM BARAT,-5,212676.69690870907,445164.0788288944
0,SORKAM BARAT,-5,212868.69690870907,445244.0788288944
0,SORKAM BARAT,-5,212908.69690870907,445252.0788288944
0,SORKAM BARAT,-6,212836.69690870907,445252.0788288944
0,SORKAM BARAT,-6,212884.69690870907,445260.0788288944
0,SORKAM BARAT,-5,212724.69690870907,445196.0788288944
0,SORKAM BARAT,-6,212604.69690870907,445140.0788288944
0,SORKAM BARAT,-5,212692.69690870907,445164.0788288944
0,SORKAM BARAT,-5,212652.69690870907,445148.0788288944
0,SORKAM BARAT,-6,212860.69690870907,445260.0788288944
0,SORKAM BARAT,-5,212700.69690870907,445172.0788288944
0,SORKAM BARAT,-5,212772.69690870907,445228.0788288944
0,SORKAM BARAT,-5,212676.69690870907,445172.0788288944
0,SORKAM BARAT,-5,212900.69690870907,445260.0788288944
0,SORKAM BARAT,-5,212772.69690870907,445220.0788288944
0,SORKAM BARAT,15,214164.69690870907,448908.0788288944
0,SORKAM BARAT,20,211228.69690870907,450820.0788288944
0,SORKAM BARAT,21,211812.69690870907,452428.0788288944
0,SORKAM BARAT,252,215996.69690870907,453708.0788288944
0,SORKAM BARAT,101,216004.69690870907,450588.0788288944
0,SORKAM BARAT,7,209428.69690870907,453908.0788288944
0,SORKAM BARAT,53,217468.69690870907,455036.0788288944
0,SORKAM BARAT,31,217844.69690870907,455108.0788288944
0,SORKAM BARAT,283,217452.69690870907,453804.0788288944
0,SORKAM BARAT,56,213132.69690870907,453180.0788288944
0,SORKAM BARAT,4,209740.69690870907,452044.0788288944
0,SORKAM BARAT,1,212292.69690870907,455812.0788288944
0,SORKAM BARAT,6,211092.69690870907,453756.0788288944
0,SORKAM BARAT,236,217044.69690870907,454196.0788288944
0,SORKAM BARAT,4,209924.69690870907,451220.0788288944
0,SORKAM BARAT,41,214508.69690870907,455108.0788288944
0,SORKAM BARAT,2,213428.69690870907,447324.0788288944
0,SORKAM BARAT,96,214332.69690870907,452372.0788288944
0,SORKAM BARAT,8,212724.69690870907,454772.0788288944
0,SORKAM BARAT,10,213284.69690870907,453660.0788288944
0,SORKAM BARAT,24,211708.69690870907,451004.0788288944
0,SORKAM BARAT,9,214020.69690870907,449452.0788288944
0,SORKAM BARAT,3,213156.69690870907,448220.0788288944
0,SORKAM BARAT,32,216332.69690870907,454924.0788288944
